邮箱格式是否正确,电话格式是否正确,身份证格式是否正确,学号格式是否正确
true,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,true,true,
true,false,true,true,
true,true,true,true,
true,true,true,true,
false,true,false,true,
true,true,true,false,
false,true,true,true,
true,true,false,true,
false,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,true,true,
false,true,true,false,
true,false,true,true,
true,true,false,true,
true,true,true,false,
true,true,false,true,
true,true,false,true,
true,true,false,true,
true,false,true,false,
true,true,false,true,
true,true,true,true,
false,false,true,true,
true,true,true,true,
true,true,true,true,
true,true,true,false,
true,true,true,false,
false,true,true,true,
true,true,false,true,
true,true,true,true,
false,true,true,true,
true,true,false,true,
true,true,true,true,
true,true,false,true,
true,false,true,true,
true,true,true,true,
true,true,false,false,
true,true,true,true,
true,true,true,true,
false,true,false,true,
false,true,false,true,
true,true,false,true,
true,true,true,true,
true,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,false,true,
true,true,false,true,
true,true,true,true,
false,true,true,true,
true,true,true,true,
true,true,false,false,
true,true,true,true,
true,true,true,true,
true,true,false,false,
true,true,false,true,
true,true,true,true,
false,true,true,true,
true,true,false,true,
true,true,true,true,
true,true,true,true,
true,true,true,true,
true,true,false,true,
true,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,true,true,
true,true,true,true,
false,true,true,false,
false,true,true,true,
true,true,true,true,
true,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,true,true,
true,false,true,true,
false,true,false,true,
true,true,false,false,
true,false,true,true,
false,true,true,true,
true,true,false,false,
false,true,false,true,
true,true,false,true,
true,true,false,true,
true,true,true,true,
true,false,true,true,
true,true,false,true,
true,true,true,true,
true,true,true,true,
true,true,true,true,
true,true,true,true,
false,true,true,true,
true,true,false,true,
false,true,true,true,
false,true,true,true,
true,true,true,true,
true,true,true,true,
